Synonum,Authority,Reference,Family Level,Species (in Phylo),SpeciesDescription,GenericDescription,Size described (what type),Length in centimeters,monotypicGenus,SeeInFigure,InfloresenceCoded,"HowCertain(1- very sure, 2- kind of sure, 3- unsure)",Curated,Authority,Reference,HotLeeds,Notes: Everything is scored as a 
,,,Liliaceae,Gagea_saxatilis,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,A. Terracc.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_ramulosa,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,A. Terracc.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_pratensis,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,A. Terracc.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_minima,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,N. Terracc.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_lacaitae,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,A. Terracc.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_confusa,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,A. Terracc.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_chabertii,umbellate inflorescence,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,A. Terracc.,"Zarrei, Mehdi, et al. ""Systematic revision of the genus Gagea Salisb.(Liliaceae) in Iran."" Botanical Journal of the Linnean Society 154.4 (2007): 559-588.",,
,,,Liliaceae,Gagea_burnatii,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,A. Terracc.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_amblyopetala,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,A. Terracc.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_villosa,"Inflorescence umbel-like; tepals (9-)12–15(18) mm long; radical leaves 1–3 mm broad, linear..","Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,M. Bieb.,"Zarrei, Mehdi, et al. ""Systematic revision of the genus Gagea Salisb.(Liliaceae) in Iran."" Botanical Journal of the Linnean Society 154.4 (2007): 559-588.",,
